"Nombre","Latitud","Longitud"
"ALUMBRADO PUBLICO SAN PEDRO TLAQUEPAQUE","20.634024","-103.316273"
"BIBLIOTECA 9 LAS HUERTAS SAN PEDRO TLAQUEPAQUE","20.615549","-103.305809"
"DIF TUXCACUESCO TUXCACUESCO","19.696962°","-103.980327°"
"CENTRO DE SALUD TUXCACUESCO TUXCACUESCO","19.697719","-103.982629"
"CENTRO DE SALUD TUXCACUESCO TUXCACUESCO","19.697679","-103.982628"
"OFICINA ADMINISTRATIVA DE SEGURIDAD PUBLICA TUXCACUESCO","19.697751","-103.98286"
"CENTRO DE SALUD COLONIA EJIDAL AUTLAN DE NAVARRO","19.759095°","-104.369643°"
"RESIDENCIA AUTLAN AUTLAN DE NAVARRO","19.76505556","-104.3522222"
"HOSPITAL REGIONAL DE AUTLAN AUTLAN DE NAVARRO","19.768794°","-104.355013°"
"OFICINAS REGIONALES AUTLAN DE NAVARRO","19.770672","-104.366483"
"REGION SIERRA DE AMULA AUTLAN DE NAVARRO","19.771209","-104.361368"
"REGION COSTA SUR AUTLAN AUTLAN DE NAVARRO","19.772816","-104.367801"
"CENTRO DE SALUD AUTLAN AUTLAN DE NAVARRO","19.773201","-104.368001"
"MODULO DE ATENCION REGIONAL  AUTLAN DE NAVARRO","19.773589","-104.363679"
"UNEMES SALUD MENTAL AUTLAN AUTLAN DE NAVARRO","19.776001","-104.376001"
"CENTRO DE SALUD ARQUITOS AUTLAN DE NAVARRO","19.782401","-104.366001"
"COORDINACION REGIONAL DE REGIONES PRORITARIAS AUTLAN AUTLAN DE NAVARRO","19.782353","-104.367312"
"CENTRO DE SALUD TONAYA TONAYA","19.784401","-103.971001"
"PRESIDENCIA MUNICIPAL DE TONAYA, JALISCO TONAYA","19.786637","-103.972143"
"MODULO DE ATENCION REGIONAL  EL GRULLO","19.803561","-104.215626"
"REGION SIERRA AMULA EL GRULLO","19.804097","-104.21824"
"CENTRO DE SALUD EL GRULLO EL GRULLO","19.805301","-104.215001"
"OFICINAS REGIONALES EL GRULLO","19.805256","-104.217525"
"UNEME CRONICO EL GRULLO EL GRULLO","19.812803°","-104.226678°"
"CENTRO DE SALUD EL LIMON EL LIMON","19.827306°","-104.161815°"
"RESIDENCIA SAYULA SAYULA","19.8758965","-103.6019885"
"HOSPITAL COMUNITARIO SAYULA SAYULA","19.883654","-103.607343"
"OFICINA ADMINISTRATIVA MAZAMITLA","19.912394","-103.020567"
"OFICINA ADMINISTRATIVA MAZAMITLA","19.913538","-103.020616"
"SUBREGION MAZAMITLA MAZAMITLA","19.919464","-103.020454"
"OFICINA ADMINISTRATIVA MAZAMITLA","19.914657","-103.023062"
"OFICINA ADMINISTRATIVA MAZAMITLA","19.916094","-103.020604"
"H. AYUNTAMIENTO MAZAMITLA","19.916144","-103.020666"
"OFICINA ADMINISTRATIVA MAZAMITLA","19.916311","-103.018233"
"TELEGRAFOS MAZAMITLA","19.918626","-103.019124"
"OFICINA ADMINISTRATIVA MAZAMITLA","19.918942","-103.018961"
"DIF MUNICIPAL VALLE DE JUAREZ VALLE DE JUAREZ","19.932905","-102.944273"
"PRESIDENCIA MUNICIPAL DE VALLE DE JUAREZ VALLE DE JUAREZ","19.932654","-102.943547"
"CENTRO DE SALUD VALLE DE JUAREZ VALLE DE JUAREZ","19.935801","-102.945001"
"PRESIDENCIA MUNICIPAL TAPALPA","19.944598","-103.757441"
"OFICINAS ADMINISTRATIVAS DEL AYUNTAMIENTO TAPALPA","19.944949","-103.757319"
"OFICINAS ADMINISTRATIVAS DEL AYUNTAMIENTO  TAPALPA","19.945098","-103.757571"
"CENTRO DE SALUD CONCEPCION DE BUENOS AIRES CONCEPCION DE BUENOS AIRES","19.973918","-103.260014"
"DIF MUNICIPAL CONCEPCION DE BUENOS AIRES","19.981465","-103.263149"
"CENTRO DE SALUD LA MANZANILLA DE LA PAZ LA MANZANILLA DE LA PAZ","20.006617","-103.153174"
"AYUNTAMIENTO AMACUECA AMACUECA","20.011695","-103.600624"
"CENTRO DE SALUD JUANACATLAN TAPALPA","20.032701","-103.687001"
"PRESIDENCIA MUNICIPAL TECHALUTA DE MONTENEGRO","20.074656","-103.550619"
"DIF MUNICIPAL TECHALUTA DE MONTENEGRO","20.074958","-103.549144"
"CENTRO DE SALUD TUXCUECA TUXCUECA","20.154701","-103.183001"
"H. AYUNTAMIENTO DE TUXCUECA TUXCUECA","20.155083","-103.185123"
"CENTRO DE SALUD VILLA EMILIANO ZAPATA TIZAPAN EL ALTO","20.164976","-102.993945"
"CENTRO DE SALUD SAN LUIS SOYATLAN TUXCUECA","20.194903°","-103.303134°"
"CENTRO DE SALUD ZACOALCO ZACOALCO DE TORRES","20.232034","-103.57429"
"SUBREGION ZACOALCO ZACOALCO DE TORRES","20.225178","-103.575794"
"ALMACEN GENERAL ZACOALCO DE TORRES","20.229088","-103.576386"
"CENTRO DE CONVENCIONES ZACOALCO DE TORRES","20.23049","-103.571136"
"SEGURIDAD CIUDADANA ZACOALCO DE TORRES","20.23074","-103.570965"
"AYUNTAMIENTO DE ZACOALCO DE TORRES ZACOALCO DE TORRES","20.230852","-103.571199"
"AYUNTAMIENTO DE IXTLAHUACAN IXTLAHUACAN DE LOS MEMBRILLOS","20.34904","-103.193047"
"CASA EJIDAL IXTLAHUACAN DE LOS MEMBRILLOS","20.349128","-103.191269"
"INSTITUTO DE LA MUJER IXTLAHUACAN DE LOS MEMBRILLOS","20.34922","-103.195158"
"SISTEMA DEL DESARROLLO INTEGRAL DE LA FAMILIA DIF IXTLAHUACAN DE LOS MEMBRILLOS","20.349589","-103.195558"
"SERVICIOS MEDICOS MUNICIPALES IXTLAHUACAN DE LOS MEMBRILLOS","20.352543","-103.200486"
"DIRECCION DE PROTECCION CIVIL Y BOMBEROS IXTLAHUACAN DE LOS MEMBRILLOS","20.355758","-103.195553"
