Nombre,Latitud,Longitud
"Carretera 622, inicio",20.665336,-103.72127
"Carretera 622, fin",20.649739,-103.708381
"Carretera 601, inicio",20.649739,-103.708381
"Carretera 601, fin",20.489302,-103.491241
"Carretera 107, inicio",20.489958,-103.271531
"Carretera 107, fin",20.514665,-103.184125
"Carretera 701, inicio",21.966948,-103.307961
"Carretera 701, fin",21.98044,-103.589264
"Carretera 722, inicio",21.98044,-103.589264
"Carretera 722, fin",21.680435,-103.809547
Carretera 119 inicio,20.313681,-103.194181
"Carretera 119, fin",20.298037,-103.244209
Carretera 112 inicio,20.289803,-103.192613
"Carretera 112, fin",20.284126,-103.420355
Carretera 155 inicio,20.282289,-103.435529
"Carretera 155, fin",20.278088,-103.447105
